date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:27	376/376	---M--	200	added ('OK')	text/plain	date:Sat,%2029%20Oct%202022%2010:10:18%20GMT	https://www.myfitnesssuites.com/robots.txt		(from )
15:39:28	867470/867470	---MCZ	200	added ('OK')	text/html	etag:W/%2274b3838380fedd1cb53a9936c750dcf7%22	https://www.myfitnesssuites.com/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web40/Site40/www.myfitnesssuites.com/index.html	(from )
15:39:28	1602/1602	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Oct%202022%2002:33:12%20GMT	https://static.wixstatic.com/media/dba0d2_9bfcd0b579134824a2eb6cd621fc1e9d~mv2.jpg/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/dba0d2_9bfcd0b579134824a2eb6cd621fc1e9d~mv2.jpg	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web40/Site40/static.wixstatic.com/media/dba0d2_9bfcd0b579134824a2eb6cd621fc1e9d_mv2.jpg/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/dba0d2_9bfcd0b579134824a2eb6cd621fc1e9d_mv2.0	(from https://www.myfitnesssuites.com/)
15:39:28	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web40/Site40/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.myfitnesssuites.com/)
15:39:28	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web40/Site40/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.myfitnesssuites.com/)
15:39:29	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2026%20Oct%202022%2016:31:53%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web40/Site40/polyfill.io/v3/polyfill.mind82c.js	(from https://www.myfitnesssuites.com/)
15:39:29	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web40/Site40/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.myfitnesssuites.com/)
15:39:30	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:10:21%20GMT	https://www.myfitnesssuites.com/decodeURIComponent(e	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web40/Site40/www.myfitnesssuites.com/decodeURIComponent(e	(from https://www.myfitnesssuites.com/)
15:39:32	973/973	---M--	200	added ('OK')	text/xml	date:Sat,%2029%20Oct%202022%2010:10:23%20GMT	https://www.myfitnesssuites.com/sitemap.xml	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web40/Site40/www.myfitnesssuites.com/sitemap.xml	(from https://www.myfitnesssuites.com/)
15:39:32	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:10:23%20GMT	https://www.myfitnesssuites.com/feed.xml	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web40/Site40/www.myfitnesssuites.com/feed.xml	(from https://www.myfitnesssuites.com/)
15:39:32	184042/184042	---M-Z	200	added ('OK')	application/javascript	etag:W/%223b3cf8a1dca3a22adc4d2bd4a00c6bf3%22	https://static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.9ca6e510.bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web40/Site40/static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.9ca6e510.bundle.min.js	(from https://www.myfitnesssuites.com/)
15:39:32	185000/185000	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ef2b70eef42e4574ae3c41c01b940199%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.cb675ae8.bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web40/Site40/static.parastorage.com/services/wix-thunderbolt/dist/main.cb675ae8.bundle.min.js	(from https://www.myfitnesssuites.com/)
15:39:33	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web40/Site40/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://www.myfitnesssuites.com/)
15:39:33	12463/12463	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263d498e143f421cc44dfb64f22fef270%22	https://static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web40/Site40/static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	(from https://www.myfitnesssuites.com/)
15:39:33	11216/11216	---M-Z	200	added ('OK')	application/javascript	etag:W/%2274b64900831a2e814a8ff0cdedcf80cb%22	https://static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web40/Site40/static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	(from https://www.myfitnesssuites.com/)
15:39:34	8692/8692	---MCZ	200	added ('OK')	application/javascript	etag:W/%223d767cc9d5534faf22865643fc04e419%22	https://js.smile.io/v1/smile-wix.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web40/Site40/js.smile.io/v1/smile-wix.js	(from https://www.myfitnesssuites.com/)
15:39:34	41172/41172	---M-Z	200	added ('OK')	application/javascript	etag:W/%2272cd3e3e90088aa5acd84acd0d7346c6%22	https://static.parastorage.com/services/wix-perf-measure/1.1042.0/wix-perf-measure.bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web40/Site40/static.parastorage.com/services/wix-perf-measure/1.1042.0/wix-perf-measure.bundle.min.js	(from https://www.myfitnesssuites.com/)
15:39:34	118656/118656	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c5abc87541fe6bb0f43f22af475a8b20%22	https://static.parastorage.com/unpkg/react-dom@16.14.0/umd/react-dom.production.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web40/Site40/static.parastorage.com/unpkg/react-dom@16.14.0/umd/react-dom.production.min.js	(from https://www.myfitnesssuites.com/)
